epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,382.836,0.74791,0.49918,0.89682,0.85656,0.86047,0.91355,0.61807,1.2792,0.73736,1.13719,0.000990365,0.000990365,0.000990365
43,391.625,0.72126,0.49244,0.88899,0.84612,0.87811,0.90042,0.63302,1.16851,0.707,1.06628,0.000973861,0.000973861,0.000973861
44,400.655,0.68959,0.46672,0.87863,0.83689,0.89791,0.93083,0.62039,1.22124,0.7135,1.09921,0.000957358,0.000957358,0.000957358
45,409.656,0.70765,0.47357,0.8888,0.88456,0.87209,0.92417,0.62128,1.22209,0.71124,1.11439,0.000940855,0.000940855,0.000940855
46,418.317,0.6956,0.4682,0.88194,0.82689,0.93023,0.93946,0.62396,1.23289,0.73909,1.12965,0.000924352,0.000924352,0.000924352
47,427.087,0.69212,0.48402,0.87977,0.81308,0.94181,0.9248,0.59638,1.21518,0.73049,1.09761,0.000907848,0.000907848,0.000907848
48,436.017,0.68736,0.469,0.87567,0.84686,0.90698,0.92975,0.59679,1.22572,0.75492,1.10658,0.000891345,0.000891345,0.000891345
49,444.788,0.68397,0.46737,0.87966,0.80341,0.92715,0.90108,0.59093,1.22766,0.75398,1.0939,0.000874842,0.000874842,0.000874842
50,453.789,0.67608,0.45713,0.88224,0.86216,0.82037,0.89724,0.59931,1.21692,0.74191,1.07708,0.000858338,0.000858338,0.000858338
51,462.7,0.65086,0.4597,0.86317,0.88472,0.78645,0.87848,0.61275,1.2217,0.83744,1.0646,0.000841835,0.000841835,0.000841835
52,471.763,0.66254,0.44942,0.87237,0.85105,0.91796,0.92646,0.6403,1.20514,0.70277,1.10393,0.000825332,0.000825332,0.000825332
53,480.615,0.6804,0.46325,0.87574,0.83709,0.92764,0.92948,0.62916,1.20673,0.74552,1.09234,0.000808828,0.000808828,0.000808828
54,489.573,0.64747,0.43897,0.86698,0.81759,0.90004,0.90273,0.61401,1.19977,0.74789,1.09507,0.000792325,0.000792325,0.000792325
55,498.682,0.62823,0.42425,0.8638,0.8452,0.85305,0.89108,0.61942,1.15649,0.74987,1.06751,0.000775822,0.000775822,0.000775822
56,507.649,0.65,0.42996,0.86877,0.80554,0.83893,0.89693,0.59482,1.25218,0.80429,1.13395,0.000759318,0.000759318,0.000759318
57,516.077,0.65166,0.42776,0.86319,0.83226,0.8316,0.88475,0.58221,1.18062,0.79153,1.12573,0.000742815,0.000742815,0.000742815
58,524.248,0.62556,0.42061,0.86883,0.84309,0.84397,0.89567,0.61274,1.1416,0.74929,1.09246,0.000726312,0.000726312,0.000726312
59,532.659,0.61586,0.41866,0.86112,0.83958,0.90518,0.91092,0.63544,1.17209,0.69202,1.11974,0.000709809,0.000709809,0.000709809
60,541.751,0.61647,0.41663,0.8682,0.81957,0.90698,0.90208,0.63699,1.14759,0.7022,1.09608,0.000693305,0.000693305,0.000693305
61,550.699,0.60562,0.41273,0.86033,0.8213,0.91617,0.90165,0.63651,1.15778,0.7137,1.07908,0.000676802,0.000676802,0.000676802
62,559.649,0.58776,0.40537,0.85544,0.82984,0.9186,0.89983,0.61612,1.16389,0.7369,1.0697,0.000660299,0.000660299,0.000660299
63,568.749,0.58822,0.39908,0.8599,0.89877,0.8696,0.91029,0.61027,1.19037,0.72035,1.10606,0.000643795,0.000643795,0.000643795
64,577.737,0.5838,0.3963,0.85813,0.8549,0.86239,0.89556,0.6109,1.20962,0.68997,1.10788,0.000627292,0.000627292,0.000627292
