epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6338,0.9153,3.10575,1.09611,0.78943,0.82759,0.89705,0.6165,1.02579,2.83852,0.98228,0.00048,0.00048,0.00048
2,22.7092,0.95626,1.94881,1.03807,1,0.15403,0.84013,0.56391,0.96703,3.67266,1.05593,0.000970298,0.000970298,0.000970298
3,31.459,0.91521,1.81859,1.05195,1,0.3659,0.65685,0.46942,0.90507,3.14173,0.99151,0.0014507,0.0014507,0.0014507
4,39.9209,0.93185,1.54301,1.04588,0.41109,0.75862,0.49218,0.36103,0.88528,2.94168,0.98414,0.00192119,0.00192119,0.00192119
5,48.0794,0.91178,1.36897,1.04804,0.83351,0.69057,0.76684,0.62211,0.84419,3.22035,0.90889,0.0019208,0.0019208,0.0019208
6,56.561,0.83668,1.2038,1.00426,0.97349,0.82759,0.89753,0.71365,0.72403,2.29553,0.96531,0.001901,0.001901,0.001901
7,65.0664,0.83104,1.02653,1.00219,0.9462,0.86207,0.91771,0.69449,0.79065,1.49553,0.98346,0.0018812,0.0018812,0.0018812
8,73.689,0.83183,0.98827,1.00421,0.80029,0.75862,0.83075,0.6516,0.78454,1.25322,0.92474,0.0018614,0.0018614,0.0018614
9,82.0963,0.81776,0.98871,1.00545,1,0.89376,0.95459,0.7599,0.76247,1.14191,0.88301,0.0018416,0.0018416,0.0018416
10,90.5641,0.84531,0.94241,1.03863,0.78797,0.86207,0.8564,0.67818,0.78595,1.25586,0.96589,0.0018218,0.0018218,0.0018218
11,99.0597,0.85078,0.84684,1.04548,0.90075,0.89655,0.9398,0.74596,0.8242,0.73746,0.93378,0.001802,0.001802,0.001802
12,107.626,0.79877,0.80504,1.01411,0.96244,0.93103,0.953,0.76612,0.75102,1.01022,0.92187,0.0017822,0.0017822,0.0017822
13,116.081,0.77586,0.74726,0.99519,0.97928,0.96552,0.96517,0.75765,0.71143,0.97624,0.911,0.0017624,0.0017624,0.0017624
14,124.503,0.77321,0.72848,1.00208,0.8954,0.96552,0.92693,0.73636,0.77919,0.75515,0.96932,0.0017426,0.0017426,0.0017426
15,132.979,0.73304,0.68725,0.98015,0.92116,0.96552,0.95841,0.75721,0.81812,1.37084,1.0066,0.0017228,0.0017228,0.0017228
16,141.59,0.72683,0.643,0.99059,0.94249,0.96552,0.96266,0.76328,0.73562,0.91136,0.92636,0.001703,0.001703,0.001703
17,150.158,0.71166,0.61284,0.96543,0.99199,0.93103,0.95339,0.76456,0.72657,0.57241,0.92637,0.0016832,0.0016832,0.0016832
18,158.645,0.74064,0.6264,0.98622,0.98384,0.96552,0.96514,0.78763,0.66925,0.51304,0.92772,0.0016634,0.0016634,0.0016634
19,167.221,0.71111,0.58168,0.97667,0.99478,0.86207,0.89505,0.71358,0.72051,0.63692,0.93283,0.0016436,0.0016436,0.0016436
20,175.951,0.69872,0.55465,0.97248,0.95912,0.96552,0.96283,0.77508,0.71425,0.62834,0.91226,0.0016238,0.0016238,0.0016238
21,184.453,0.70228,0.57578,0.97659,0.983,0.93103,0.96344,0.77046,0.76432,0.52523,0.963,0.001604,0.001604,0.001604
22,192.893,0.65647,0.52236,0.93783,0.90164,0.96552,0.95585,0.77684,0.76859,0.65362,0.92669,0.0015842,0.0015842,0.0015842
23,201.265,0.68411,0.56977,0.97228,0.97466,0.93103,0.96154,0.80404,0.69435,0.67317,0.94801,0.0015644,0.0015644,0.0015644
24,209.77,0.66832,0.54202,0.95089,0.98996,0.93103,0.96311,0.80625,0.69059,1.0568,0.97929,0.0015446,0.0015446,0.0015446
25,218.207,0.66735,0.52151,0.95141,0.96295,0.96552,0.96415,0.81869,0.63847,0.50723,0.92544,0.0015248,0.0015248,0.0015248
26,226.585,0.62161,0.48616,0.93955,0.99017,0.96552,0.9659,0.80648,0.69811,0.46724,0.95087,0.001505,0.001505,0.001505
27,234.973,0.6238,0.50524,0.9453,0.96426,0.93026,0.9673,0.80188,0.65362,0.60939,0.93813,0.0014852,0.0014852,0.0014852
28,243.465,0.60908,0.48854,0.92726,0.97888,0.96552,0.96602,0.79269,0.67345,0.51283,0.94128,0.0014654,0.0014654,0.0014654
29,251.966,0.62439,0.47842,0.947,0.99146,0.96552,0.96681,0.77174,0.66313,0.45928,0.95101,0.0014456,0.0014456,0.0014456
30,260.4,0.6176,0.4743,0.944,0.9897,0.96552,0.96752,0.8025,0.66817,0.47938,0.94665,0.0014258,0.0014258,0.0014258
31,268.746,0.61154,0.49708,0.94511,0.99158,0.96552,0.97158,0.82153,0.75592,0.47139,0.94909,0.001406,0.001406,0.001406
32,277.151,0.64776,0.49155,0.96666,0.96162,0.96552,0.9639,0.79521,0.63704,0.4302,0.89153,0.0013862,0.0013862,0.0013862
