epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,285.51,0.60145,0.4538,0.93226,0.96365,0.96552,0.96695,0.78316,0.76124,0.48529,0.94921,0.0013664,0.0013664,0.0013664
34,293.844,0.58292,0.46648,0.92782,0.96359,0.96552,0.96652,0.78715,0.72098,0.47588,0.96733,0.0013466,0.0013466,0.0013466
35,302.245,0.59559,0.46002,0.9199,0.96221,0.96552,0.96266,0.77072,0.68328,0.44267,0.94583,0.0013268,0.0013268,0.0013268
36,310.744,0.55164,0.44431,0.9208,1,0.96527,0.96884,0.8139,0.64853,0.41304,0.90948,0.001307,0.001307,0.001307
37,319.154,0.54306,0.42142,0.9143,0.96974,0.96552,0.96947,0.81337,0.64355,0.45631,0.91514,0.0012872,0.0012872,0.0012872
38,327.583,0.58312,0.44739,0.92242,0.99414,0.96552,0.9703,0.80461,0.6763,0.41377,0.90521,0.0012674,0.0012674,0.0012674
39,336.221,0.54778,0.43145,0.91419,0.99765,0.96552,0.96955,0.7797,0.68218,0.39333,0.93603,0.0012476,0.0012476,0.0012476
40,344.833,0.53312,0.42069,0.9115,0.99356,0.96552,0.96973,0.7925,0.69532,0.41563,0.96546,0.0012278,0.0012278,0.0012278
41,353.313,0.55266,0.42253,0.91607,0.98559,0.96552,0.96881,0.79676,0.73517,0.45367,0.96018,0.001208,0.001208,0.001208
42,361.836,0.53808,0.41458,0.90557,0.99349,0.96552,0.96585,0.78447,0.67883,0.50228,0.9588,0.0011882,0.0011882,0.0011882
43,370.283,0.5626,0.40608,0.91955,0.96761,0.96552,0.96654,0.81499,0.73732,0.48255,0.97471,0.0011684,0.0011684,0.0011684
44,378.973,0.53738,0.40306,0.91578,1,0.96242,0.96586,0.79651,0.69105,0.42742,0.94412,0.0011486,0.0011486,0.0011486
45,387.463,0.5071,0.38794,0.88994,0.99749,0.96552,0.96943,0.80128,0.68903,0.41139,0.97957,0.0011288,0.0011288,0.0011288
46,395.876,0.48174,0.37575,0.89025,0.9948,0.96552,0.96818,0.79957,0.73048,0.4259,0.96896,0.001109,0.001109,0.001109
47,404.303,0.48611,0.3823,0.88906,0.99651,0.96552,0.96964,0.83217,0.69082,0.42699,0.92927,0.0010892,0.0010892,0.0010892
48,412.841,0.47145,0.36722,0.88862,0.96537,0.96139,0.96965,0.81677,0.71668,0.4343,0.92864,0.0010694,0.0010694,0.0010694
49,421.303,0.48288,0.36212,0.89952,0.96236,0.96552,0.96619,0.79964,0.70793,0.41473,0.94902,0.0010496,0.0010496,0.0010496
50,429.834,0.51224,0.38884,0.90785,0.99611,0.96552,0.9725,0.79818,0.70686,0.37055,0.92276,0.0010298,0.0010298,0.0010298
51,438.343,0.44724,0.35653,0.8691,0.96443,0.96552,0.97196,0.81314,0.71711,0.42924,0.93901,0.00101,0.00101,0.00101
52,447.046,0.48354,0.37936,0.87869,0.96475,0.96552,0.96644,0.80364,0.62566,0.40253,0.92841,0.0009902,0.0009902,0.0009902
53,455.55,0.44435,0.3407,0.87287,0.96546,0.96378,0.97412,0.82953,0.6686,0.38195,0.9363,0.0009704,0.0009704,0.0009704
54,464.05,0.46879,0.36458,0.88236,0.9963,0.96552,0.9734,0.80793,0.72587,0.40097,0.94387,0.0009506,0.0009506,0.0009506
55,472.521,0.47489,0.36428,0.89513,1,0.9631,0.97067,0.80217,0.69448,0.43262,0.96058,0.0009308,0.0009308,0.0009308
56,480.565,0.45849,0.34624,0.87049,0.97634,0.96552,0.97133,0.80671,0.66371,0.41294,0.96383,0.000911,0.000911,0.000911
57,488.606,0.46965,0.36799,0.89815,0.96542,0.96286,0.97433,0.83238,0.61362,0.36515,0.91492,0.0008912,0.0008912,0.0008912
58,496.923,0.46953,0.35977,0.90198,0.99703,0.96552,0.9703,0.81751,0.67977,0.34015,0.94961,0.0008714,0.0008714,0.0008714
59,504.819,0.44328,0.34398,0.87281,0.99488,0.96552,0.96703,0.78773,0.70793,0.37416,0.96415,0.0008516,0.0008516,0.0008516
60,512.863,0.43372,0.33896,0.88703,0.99673,0.96552,0.97419,0.82023,0.64031,0.33021,0.91463,0.0008318,0.0008318,0.0008318
61,520.737,0.42457,0.32805,0.86606,0.99427,0.96552,0.97419,0.82909,0.71748,0.37222,0.92395,0.000812,0.000812,0.000812
62,528.807,0.39529,0.32805,0.87026,0.98995,0.96552,0.96968,0.81473,0.64055,0.38475,0.92361,0.0007922,0.0007922,0.0007922
63,536.846,0.44516,0.34416,0.89086,0.98753,0.96552,0.96599,0.81734,0.6917,0.42928,0.949,0.0007724,0.0007724,0.0007724
64,544.81,0.41266,0.34469,0.86803,0.99834,0.96552,0.96552,0.78988,0.69675,0.39666,0.93516,0.0007526,0.0007526,0.0007526
65,552.822,0.43226,0.34129,0.88345,1,0.96131,0.96655,0.78704,0.67959,0.36847,0.92372,0.0007328,0.0007328,0.0007328
66,560.842,0.41685,0.31656,0.86721,1,0.95507,0.97008,0.82766,0.66667,0.37816,0.94055,0.000713,0.000713,0.000713
67,569.016,0.43339,0.33548,0.88243,0.99141,0.96552,0.97515,0.8271,0.65248,0.37713,0.94861,0.0006932,0.0006932,0.0006932
68,577.283,0.41287,0.33531,0.88549,0.9939,0.96552,0.97455,0.83357,0.66266,0.36117,0.96177,0.0006734,0.0006734,0.0006734
69,585.43,0.41272,0.3182,0.88073,0.99761,0.96552,0.97817,0.83195,0.67022,0.34117,0.93454,0.0006536,0.0006536,0.0006536
70,593.475,0.40356,0.31144,0.87366,0.99705,0.96552,0.97933,0.8187,0.66658,0.33982,0.95555,0.0006338,0.0006338,0.0006338
71,601.531,0.39677,0.3189,0.87036,0.99309,0.96552,0.97718,0.83042,0.68486,0.38153,0.95226,0.000614,0.000614,0.000614
72,609.566,0.38508,0.30429,0.87645,0.99205,0.96552,0.97515,0.82519,0.68513,0.38049,0.93744,0.0005942,0.0005942,0.0005942
73,617.603,0.42289,0.31429,0.87991,0.97812,0.96552,0.97718,0.82762,0.72019,0.4109,0.97469,0.0005744,0.0005744,0.0005744
74,626.191,0.37438,0.29553,0.85642,0.96546,0.96552,0.97073,0.80912,0.67744,0.41089,0.98101,0.0005546,0.0005546,0.0005546
75,634.676,0.37422,0.28752,0.867,0.98585,0.96552,0.97299,0.80468,0.70993,0.40383,0.98726,0.0005348,0.0005348,0.0005348
76,643.221,0.39468,0.31266,0.87201,0.96351,0.96552,0.97316,0.82185,0.6699,0.38534,0.96546,0.000515,0.000515,0.000515
77,651.651,0.37686,0.29337,0.87009,0.98919,0.96552,0.97455,0.82432,0.62793,0.37053,0.92588,0.0004952,0.0004952,0.0004952
78,660.243,0.37292,0.28696,0.86036,0.99597,0.96552,0.97782,0.82435,0.67969,0.36135,0.94517,0.0004754,0.0004754,0.0004754
79,668.691,0.36414,0.29171,0.85088,0.99787,0.96552,0.97853,0.82824,0.67427,0.34268,0.9523,0.0004556,0.0004556,0.0004556
80,677.262,0.35279,0.28247,0.85811,0.99799,0.96552,0.9766,0.81908,0.68646,0.32447,0.93552,0.0004358,0.0004358,0.0004358
81,685.834,0.36234,0.29385,0.86367,0.99656,0.96552,0.97583,0.80977,0.7049,0.34955,0.97203,0.000416,0.000416,0.000416
82,694.328,0.34953,0.27896,0.86014,0.99525,0.96552,0.9766,0.81561,0.6604,0.35223,0.94313,0.0003962,0.0003962,0.0003962
83,702.959,0.35713,0.27762,0.86233,0.99487,0.96552,0.97688,0.82446,0.64679,0.35782,0.93315,0.0003764,0.0003764,0.0003764
84,711.51,0.3507,0.27395,0.84783,0.99717,0.96552,0.97892,0.82736,0.66794,0.33786,0.94908,0.0003566,0.0003566,0.0003566
85,720.025,0.34672,0.27573,0.85616,0.99661,0.96552,0.97718,0.82102,0.66878,0.32018,0.97146,0.0003368,0.0003368,0.0003368
86,728.56,0.34031,0.26583,0.86046,0.99553,0.96552,0.97688,0.82493,0.66138,0.3417,0.96099,0.000317,0.000317,0.000317
87,737.066,0.33657,0.25686,0.85838,0.99468,0.96552,0.97853,0.81973,0.69608,0.37585,0.97767,0.0002972,0.0002972,0.0002972
88,745.69,0.32399,0.26293,0.85223,0.99514,0.96552,0.97749,0.82732,0.655,0.34053,0.9541,0.0002774,0.0002774,0.0002774
89,754.05,0.30495,0.24955,0.85015,0.99381,0.96552,0.97688,0.82504,0.65405,0.33943,0.94692,0.0002576,0.0002576,0.0002576
90,762.395,0.317,0.25532,0.85417,0.99293,0.96552,0.97749,0.82545,0.66492,0.34218,0.9526,0.0002378,0.0002378,0.0002378
91,793.058,0.26637,0.22398,0.80445,0.99201,0.96552,0.97782,0.82632,0.68125,0.36153,0.94952,0.000218,0.000218,0.000218
92,801.682,0.26955,0.22047,0.81215,0.99622,0.96552,0.97583,0.8213,0.66809,0.37363,0.967,0.0001982,0.0001982,0.0001982
93,810.02,0.25888,0.20488,0.80434,0.9937,0.96552,0.97633,0.82236,0.65131,0.3492,0.95993,0.0001784,0.0001784,0.0001784
94,818.591,0.24648,0.20742,0.8059,0.99211,0.96552,0.97782,0.82399,0.65541,0.35034,0.96554,0.0001586,0.0001586,0.0001586
95,826.948,0.24998,0.20914,0.79424,0.99103,0.96552,0.97817,0.81954,0.65516,0.35185,0.95947,0.0001388,0.0001388,0.0001388
96,835.524,0.24816,0.20592,0.79638,0.99243,0.96552,0.97718,0.81208,0.66021,0.36293,0.95895,0.000119,0.000119,0.000119
97,843.955,0.2308,0.20505,0.8111,0.99504,0.96552,0.97688,0.81806,0.65552,0.34785,0.96309,9.92e-05,9.92e-05,9.92e-05
98,852.149,0.25309,0.20688,0.82393,0.99551,0.96552,0.97718,0.81483,0.65781,0.35037,0.96044,7.94e-05,7.94e-05,7.94e-05
99,860.395,0.24174,0.19835,0.80312,0.99518,0.96552,0.97688,0.81983,0.65153,0.34382,0.94875,5.96e-05,5.96e-05,5.96e-05
100,868.781,0.23194,0.19936,0.79439,0.99478,0.96552,0.97718,0.81499,0.65542,0.3352,0.95151,3.98e-05,3.98e-05,3.98e-05
