epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2672,1.32666,2.66393,1.15092,1,0.21687,0.41603,0.25995,1.25216,2.95154,1.00083,0.00048,0.00048,0.00048
2,22.2791,1.22757,1.46366,1.07442,1,0.19078,0.3378,0.21942,1.25623,2.88347,1.01758,0.000970298,0.000970298,0.000970298
3,30.9729,1.19209,1.32403,1.07503,0.82077,0.29885,0.54161,0.33738,1.42046,2.5473,1.15761,0.0014507,0.0014507,0.0014507
4,39.1448,1.20778,1.23894,1.0867,0.56607,0.57471,0.6651,0.43385,1.26177,1.74384,1.11414,0.00192119,0.00192119,0.00192119
5,47.255,1.18566,1.13113,1.08811,0.62617,0.44828,0.5275,0.37134,1.2664,2.8463,1.09906,0.0019208,0.0019208,0.0019208
6,55.474,1.14019,1.05969,1.08896,0.75949,0.42529,0.53007,0.36273,1.31473,2.25966,1.18055,0.001901,0.001901,0.001901
7,63.6185,1.12901,0.9654,1.06547,0.71317,0.82759,0.86157,0.55864,1.32515,1.2601,1.16391,0.0018812,0.0018812,0.0018812
8,71.9395,1.13122,0.92398,1.07056,0.76552,0.67816,0.69212,0.47124,1.38314,1.38109,1.27962,0.0018614,0.0018614,0.0018614
9,80.1881,1.10167,0.89684,1.05717,0.55078,0.73286,0.63122,0.40705,1.37366,1.49593,1.18263,0.0018416,0.0018416,0.0018416
10,88.3921,1.11585,0.87308,1.07221,0.7535,0.82759,0.84918,0.54504,1.26047,1.44653,1.20051,0.0018218,0.0018218,0.0018218
11,96.7352,1.08628,0.80743,1.04568,0.77748,0.82759,0.80665,0.5254,1.29302,1.38954,1.22563,0.001802,0.001802,0.001802
12,105.064,1.06075,0.75692,1.02471,0.72609,0.85057,0.83704,0.55887,1.166,1.18132,1.13201,0.0017822,0.0017822,0.0017822
